maori word,use instead of,related term,broader term
Karaka, , , Hua rākau + Rākau whakaruruhau
Karakia, Chants; Incantations; Prayers (Traditional), Atua; Inoi; Mākutu; Poi; Pōwhiri; Tapu; Tikanga; Tikanga tuku iho; Wai tapu; Whakapono, Reo Māori
Karamū, Kākaramū; Kakarangū; Kāramuramu; Karangū; Koromuramu; Patutiketike, Maro tūhou, Mauwha
Karamuramu, , Rongoā, Hua rākau
Karanga," Calls, Marae; Marae calls", , Pōwhiri
Karanga kai, , , Karanga
Karanga manu," Bird lures; Instruments, Stone; Lures, Bird; Stone instruments", Karanga weka; Pūpū harakeke (Taonga pūoro); Pūpū kauri; Tānemāhuta; Tānetuarōria (Taonga pūoro); Tuaroria, Taonga pūoro
Karanga weka," Bird lures; Instruments, Stone; Lures, Bird; Stone instruments", Karanga manu; Pūpū harakeke (Taonga pūoro); Pūpū kauri; Tānemāhuta; Tānetuarōria (Taonga pūoro); Tuaroria, Taonga pūoro
Karapu, Clubs, , Rōpū Māori
Karapu whutupōro," Clubs, Rugby Union; Rugby Union clubs", Whutupōro, Karapu
Kararehe, Animals, Ingoa; Mātauranga hauora kararehe; Mātauranga kararehe; Whare whakaaturanga kīrehe, Pūtaiao
Kararehe whāngote, Mammals, , Kararehe
Karawaka, Mitara; Measles, Kōpukupuku, Tahumaero
Kareao, Taiore; Supplejacks, , Aka
Kārearea," Bush hawks; Hawks, Bush", , Manu ngahere
Kāremu, , , Waka
Karengo, Kareko; Parengo; Reporepo; Tupata; Nori seaweeds, , Rimutai
Karepō," Eel grasses; Grasses, Sea; Sea grasses", , Rimutai
Kāretu," Grasses, Scented; Scented grasses; Sweet vernal", , Pātītī
Kāri poutāpeta, Pohi kāri; Postcards, , Whakaahua
Karoro," Black-backed gulls; Black-backed seagulls; Gulls, Black-backed; Seagulls, Black-backed", Tarāpunga, Manu ki tātahi
Katipō," Spiders, Poisonous", , Pungāwerewere
Kau, Cows, Kāwhe; Pūru, Kararehe whāngote
Kauhoe, Swimming, Whakaora tangata auheke, Hākinakina
Kaumātua, Elders; Maataapuputuu, Pakeke; Tūpuna, Whānau
Kaunaroa, Hulls, Haumi; Rauawa, Waka
Kaupapa, Kaupapa here; Plans; Policies, , Mana whakahaere
Kaupapa rangahau, Tikanga Māori; Tikanga rangahau; Tukanga rangahau; Methodologies; Research methods, , Kaupapa + Rangahau
Kaupapa whakaaro, Policy analysis, , Mana whakahaere
Kauri, , , Rākau whakakake
Kaute, Counting, Mahi kaute, Pāngarau
Kauti, Koute; Porohau; Gout, , Tahumaero
Kauwae," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Kawa, Protocols, Ritenga, Tikanga tuku iho
Kawa whakaruruhau," Cultural safety; Safety, Cultural", , Noho-ā-iwi
Kawaka, Kahikawaka; Kaikawaka, , Rākau whakakake
Kawakawa," Pepper trees; Trees, Pepper", , Mauwha
Kāwanatanga, Government, Kōmihana a te Karauna; Mana whakahaere, Tōrangapū
Kawau, Shags, , Manu ki tātahi
Kawe kōrero, Kōrero ā-nūpepa; Journalism; Reporting, Kōrero; Moheni; Nūpepa; Pouaka whakaata; Reo irirangi, Pūrongorongo
Kawe mate," Ceremonies, Mourning; Mourning ceremonies", Whānau pani, Waka tūpāpaku
Kāwenata Hou," New Testament; Testament, New", Ūpoko (Paipera Tapu), Paipera Tapu
Kāwenata Tawhito," Old Testament; Testament, Old", Ūpoko (Paipera Tapu), Paipera Tapu
Kāwhe, , Kau; Pūru, Kararehe whāngote
Kea," Mountain parrots; Parrots, Mountain", , Manu ngahere
Kēhua, Ghosts; Spirits, , Ao wairua
Keiwaitahi," Tattoos, Stomach", , Tā moko (Tā ngira) + Tā moko (Uhi)
Keke, Cakes, , Tunu kai
Kekeno," Kakerangi; Fur seals, New Zealand; New Zealand fur seals; Seals, New Zealand fur", , Kararehe whāngote
Kēnge, Gangs, , Tokomatua
Kerēme (Tiriti o Waitangi)," Claims, Waitangi Tribunal; Waitangi Tribunal claims", Muru whenua; Raupatu; Tino rangatiratanga; Tōrangapū; Whakatau mauri, Tiriti o Waitangi
Kererū," Pigeons, Wood; Wood pigeons", , Manu ngahere
Keretū, , , Waka
Kete, Baskets, , Raranga kete
Kete kawe pēpi, , , Kete
Kete kawe taputapu, , , Kete
Kete kohi kai, , Kai, Kete
Kete kohi kai moana, , Kaimoana, Kete
Kete kūmara, , Kūmara, Kete
Kī-ō-Rahi," Ball games, Traditional; Traditional ball games", , Hākinakina
Ki te kawa tūpāpaku, , , Tangihanga
Ki te kawe kai, , , Whāriki
Kiekie, Freycinetia baueriana, , Aka
Kihikihi, Cicadas, , Aitanga pepeke
Kina, Sea urchins, Kaimoana, Ngā uri o Tangaroa
Kīnaki, Relishes; Sauces, , Kai
Kīngitanga, Koroneihana; King Movement; Kingship; Māori King Movement, Aukati (Tōrangapū); Kōtahitanga; Mana motuhake; Pai Mārire; Rangatiratanga, Tōrangapū
Kinikini, Cloaks, , Korowai
Kiokio," Ferns, Hard; Hard ferns; Korokio; Koropio", , Huruhuru whenua
Kiore, Hāmua; Rats, , Kararehe whāngote
Kīrehu, Idioms, Kīwaha; Pepeha; Whakatauākī; Whakataukī, Kōrero
Kiriata, Pikitia; Films; Motion pictures; Movies, Kaiwhakaari; Toi whakaari; Whakaahua, Pāpāho
Kirihimete, Hākari nui o te ao; Christmas; Xmas, , Hāhi Karaitiana
Kiripaka, , , Kōhatu
Kitemaimanu," Tattoos, Thigh", , Tā moko (Tā ngira) + Tā moko (Uhi)
Kīwaha," Kīanga; Colloquial idioms; Idioms, Colloquial; Polite sarcasms; Sarcasms, Polite", Kīrehu; Pepeha; Whakatauākī; Whakataukī, Kōrero
Kiwi, , Kahu kiwi, Manu ngahere
Kō, Digging sticks, , Taputapu ahu whenua
Koa, Hari; Happiness, , Aronganui
Kōanga, Spring, , Wāhanga o te tau
Kōareare, , , Hua whenua + Raupō
Koati, Goats, , Kararehe whāngote
Kōauau, Flutes, Hineraukatauri; Kōauau ponga ihu; Nguru; Ororuarangi; Patupaiarehe; Ponga ihu; Pōrutu; Pūmotomoto; Pūtōrino; Rehu, Taonga pūoro
Kōauau ponga ihu," Flutes, Nose; Gourd instruments; Instruments, Gourd; Nose flutes", Hinepūtehue; Hineraukatauri; Hue; Kōauau; Nguru; Ororuarangi; Pōrutu; Pūmotomoto; Pūtōrino; Rarā; Rehu, Taonga pūoro
Koekoeā," Koehoperoa; Cuckoos, Long-tailed; Long-tailed cuckoos", , Manu ngahere
Koha, Donations; Gifts, , Pōwhiri
Kōhanga reo, Early childhood education (Māori); Māori early childhood education; Māori pre-schools; Pre-schools (Māori), Ako; Kōhungahunga; Kura pūhou; Pēpē; Reo Māori; Tamariki nohinohi, Waihanga
Kōhatu, Kōwhatu; Pōhatu; Pōwhatu; Stone, Toka-ā-nuku, Pūtaiao
Kohekohe, , , Rākau whakauru
Kohere, Kaitahutahu arikinui, , Ariki
Kohuke, Minerals, , Toka-ā-nuku
Kōhungahunga, Kōngahungahu; Pre-schoolers, Kōhanga reo; Kura pūhou; Tamariki; Tamariki nohinohi, Whānau
Kōhurutanga, Murder, , Hara
Koikoi," Double-ended spears; Spears, Double-ended", Mau koikoi, Rākau ā Tū
Koiora, Life forms, , Pūtaiao
Koitareke," Kāreke; Crakes, Marsh; Marsh crakes", , Manu repo
Kōiwi tangata," Bones, Human; Human bones", Whaipara tangata, Tangihanga + Tinana
Kōiwi tōroa, , Pōrutu, Taonga pūoro
Kōkako," Blue wattled crows; Crows, Blue wattled", , Manu ngahere
Kōkōmuka tāranga, Kōkōmuka-tu-tara-whare; Koromiko tāranga; Longleaved pimelia, , Mauwha
Kokongapere," Tattoos, Back", , Tā moko (Tā ngira) + Tā moko (Uhi)
Kōmihana a te Karauna, Kōmihana pakirehua; Kōmihana roera; Kōmihana uiui; Commissions of Inquiry; Royal commissions, Kāwanatanga, Ture o te Kāwanatanga
Kōnini, , , Hua rākau + Kōtukutuku
Kōpae hikohiko, Kōpaepae hikohiko; CD-ROMs, Hangarau mōhiohio, Taputapu
Kopaiti, , , Whare whakairo
Kōpakopako," Conger eels, Silver; Eels, Silver conger; Silver conger eels", , Tuna
Kōpatapata, Showers, , Ua
Kōpū (Whetū kōkiri), Tuwera o te ata; Venus, Meremere; Tarewa, Whetū kōkori
Kōpū pukupuku," Cancer, Cervical; Cervical cancer", , Mate pukupuku
Kōpukupuku," German measles; Measles, German; Rubella", Karawaka, Tahumaero
Koremahi, Unemployment, Whiwhinga mahi, Āhuatanga ōhanga + Āhuatanga pāpori
Korepa, Kōreparepa; Slingshots, , Rākau ā Tū
Kōrero, Stories, Hopu reo; Kawe kōrero; Pāpāho; Waiata, Reo Māori
Kōrero-ā-iwi," Discussions, Tribal; Tribal discussions", , Hui-ā-iwi
Kōrero-a-rīnga, Sign language, , Kōrero
Kōrero nehe," Hītori; Kōrero ō mua; Kōrero o neherā; Kōrero onamata; Tāhuhu kōrero; Ancient stories; History; Stories, Ancient", Rangahau; Te Ao Tāwhito; Tumu kōrero, Kōrero
Kōrero paki," Kōrero katakata; Comedy; Funny stories; Humorous stories; Stories, Funny; Stories, Humorous", , Kōrero
Kōrero paki mā ngā tamariki," Pakimaero tamariki; Children's fiction; Children's stories; Fiction, Children's; Stories, Children's", Pakiwaitara; Tamariki, Tuhinga kōrero
Kōrero paki mā te hunga taiohi," Fiction, Young adult; Young adult fiction", , Tuhinga kōrero
Kōrero pono mā te hunga taiohi," Non-fiction, Young adult; Young adult non-fiction", , Tuhinga kōrero
Kōrero pono mā te pakeke," Adult non-fiction; Non-fiction, Adult", , Tuhinga kōrero
Kōrero pono mā te tamariki," Children's non-fiction; Non-fiction, Children's", , Tuhinga kōrero
Kōrero pukapuka, Reading, , Kōrero
Kōrero taumata, Haurongo; Kōrero tangata; Biographies; Life stories, Tāngata; Whakapapa, Tuhinga kōrero
Kōrero tautoko, Testimonials, , Kōrero
Kōreti, Waka kōreti, , Waka
Korikori tinana," Exercise; Movement, Physical; Physical movement", Tākaro, Hauora tinana
Korimako, Bellbirds, , Manu ngahere
Koroaha," Tattoos, Facial", , Tā moko (Tā ngira) + Tā moko (Uhi)
Koroī, Kahikatea berries, , Hua rākau + Kahikatea
Korokio tāranga, , , Mauwha
Korokoropounamu, Karokaropounamu; Bluefishes, , Ika moana
Koromiko, , , Mauwha
Koropepe, Adornments (Coiled creatures); Jewellery (Coiled creatures), Manaia, Whakakai
Koropungapunga, Pungapunga; Pumice, , Kōhatu
Kororā," Little blue penguins; Penguins, Little blue", , Manu moana
Koroua," Koro; Elders, Male; Grandfathers; Granduncles; Male elders; Karani pā; Koroheke; Pōua", Kuia; Pāpā; Tūpuna, Kaumātua
Korowai, Cloaks, , Whatu kākahu
Korowhāwhā, Kokowhāwhā; Anchovies, , Ika moana
Koru, , , Otaota
Korupe, , , Whare whakairo
Kōrure," Mottled petrels; Petrels, Mottled", , Manu moana
Koruru, , , Whare whakairo
Kōtaha," Tōtaha; Sticks, Throwing; Throwing sticks", , Rākau ā Tū
Kōtahitanga, Kōtahitanga Movement; Māori Congress, Kīngitanga; Rōpū tōrangapū; Tino rangatiratanga, Tōrangapū
Kōtare, Kingfishers, , Manu ki tātahi + Manu waimāori
Kōtātā, Mātātā; Fern-birds, , Manu repo
Kotiate," Whakaate; Fiddle shaped weapons; Weapons, Fiddle shaped", , Rākau ā Tū
Kōtiro, Kō (Kōtiro); Girls, Ira wahine; Tamāhine; Whānau, Tāngata
Kōtuku," Herons, White; White herons", , Manu waimāori
couldn't find 0xaf in g0=66 g1=69,,,
couldn't find 0xaf in g0=66 g1=69,,,
Kōtuku ngutupapa," Royal spoonbills; Spoonbills, Royal", , Manu waimāori
Kōtukutuku," Kōhutuhutu; Fuschsias, Tree; Tree fuchsias", , Rākau whakauru
Kounga o te wai," Quality, Water; Water quality", , Taiao + Wai
Kōura, Crayfish; Lobsters, Kaimoana; Kōura mara; Pāpaka, Ngā uri o Tangaroa
Kōura mara, , Kōura; Ruku kōura, Kai whakamara
Kōwaowao," Ferns, Hounds tongue; Hounds tongue ferns", , Huruhuru whenua
Kōwhai ngutukākā, Kakabeaks, Kōwhai raunui, Mauwha
Kōwhai raunui, , Kōwhai ngutukākā, Rākau whakauru
Kōwhai rauriki, , , Rākau whakauru
Kōwhaiwhai," Paintings, Rafter; Paintings, Ridgepole", Whare whakairo, Toi Māori
Kōwhangatara, Turikākoa; Spinifex, , Pātītī
Kōwharawhara, Pūwharawhara, Kahakaha; Toetoe, Whara
Kōwhiringa Māori," Electoral options, Māori; Māori electoral options", , Kōwhiringa pōti
Kōwhiringa pōti, Elections, Kaitōrangapū; Pāremata; Ture o te Kāwanatanga, Kāwanatanga
Kū," Instruments, Stringed; Stringed instruments", Tānemāhuta, Taonga pūoro
Kūaka," Kuaka; Eastern bar-tailed godwits; Godwits, Eastern bar-tailed", Tarāpunga, Manu ki tātahi
Kuia," Elders, Female; Female elders; Grandaunts; Grandmothers; Karani mā; Kuikuia; Ruuruhi; Tāua", Hineahuone; Koroua; Māmā; Tūpuna, Kaumātua
Kūkuruatu," Dotterels, New Zealand; New Zealand dotterels", , Manu ki tātahi
Kūmara," Potatoes, Sweet; Sweet potatoes; Kūmera", Kete kūmara; Matapaheru, Aka + Hua whenua + Pūtake
Kūmarahou," Gumdiggers' soap plants; Soap plants, Gumdiggers'", , Mauwha
Kupae, Sprats; Marakuha, , Ika moana
Kūpapa, Armed forces; Loyalist Māori forces, , Taua
Kupenga," Fishing nets; Nets, Fishing", Hīnaki; Patupaiarehe, Taputapu hī ika
Kupu whakaari, Kupu matakite; Prophecies, Ringatū, Tohunga matakite + Whakatauākī
Kupu whakarite," Figurative language; Metaphorical sayings; Metaphors; Sayings, Metaphorical; Similes", , Kōrero
Kura kaupapa Māori," Māori primary schools; Primary schools, Māori", Ako; Kura tuatahi; Reo Māori; Tamariki, Waihanga
Kura pūhou," Early childhood education (Mainstream); Education, Early childhood (Mainstream); Kindergartens (Mainstream); Pre-schools (Mainstream)", Ako; Kōhanga reo; Kōhungahunga; Tamariki nohinohi, Waihanga
Kura tuarua," Kura kāreti; Education, Secondary school (Mainstream); Schools, Secondary (Mainstream); Secondary school education (Mainstream); Secondary schools (Mainstream)", Ako; Pūkengatanga; Taiohi; Wharekura, Waihanga
Kura tuatahi," Education, Intermediate school (Mainstream); Education, Primary school (Mainstream); Intermediate school education (Mainstream); Intermediate schools (Mainstream); Primary school education (Mainstream); Primary schools (Mainstream); Schools, Intermediate (Mainstream); Schools, Primary (Mainstream)", Ako; Kura kaupapa Māori; Tamariki, Waihanga
Kura tuatoru," Education, Tertiary; Tertiary education", Pūkengatanga; Whare wānanga, Waihanga
Kurī, Kīrehe; Dogs, , Mōkai
Kuru pounamu, Adornments (Greenstone drop pendants); Jewellery (Greenstone drop pendants), Pounamu, Whakakai
Kuruwhengi," Ducks, Shoveller; Shoveller ducks", , Manu waimāori
Kuta," Papao; Club rushes, Lake; Lake club rushes", Toetoe, Otaota waimāori + Whara
Kuti hipi," Shearing, Sheep; Sheep shearing", , Ahu whenua
Kutu, Lice, , Aitanga pepeke
Maehe, Mahe; Sinkers (Fishing), Punga (Waka), Taputapu hī ika
Māhaki," Whakaiti; Humbleness; Humility; Nature, Unassuming; Unassuming nature", , Hinengaro
Mahau, Porches, , Whare whakairo
Mahere, Mapi; Charts; Maps, , Pūtaiao
Mahere moana," Charts, Hydrographic; Hydrographic charts; Maps, Navigational; Navigational maps", Hinemoana; Tangaroa, Mahere
Mahere whenua," Land maps; Maps, Land", Papa whenua, Mahere
Mahere whetū," Astronomical charts; Charts, Astronomical; Charts, Star; Star charts", Ranginui; Tānemāhuta; Tātai arorangi; Whānau mārama, Mahere
Mahi ā Rēhia," Arts, Performing (Traditional); Games (Traditional); Pastimes (Traditional); Performing arts (Traditional)", , Mahi toi
Mahi hokohoko, Marketing, Pānuitanga whakatairanga, Hokohoko
Mahi kaute, Accounting, Kaute, Umanga
Mahi tapuhi, Nursing, , Ora
Mahi toi, Arts, ,
Mahi tūao, Mahi aroha; Tohu aroha; Voluntary work, , Āhuatanga pāpori
Mahi tūtei, Surveillance, , Pūnaha ture taihara
Mahi whakaauraki, Correctional facilities; Corrections, Hara; Mātauranga haratūtanga; Ture hara, Pūnaha ture taihara
Mahi whakahaere, Management, , Umanga
Mahi whakatuatea, Mahi whakatumatuma; Terrorism, , Pakanga
Mahinga ika tūturu," Customary fishing; Fishing, Customary; Fishing, Subsistence; Subsistence fishing", Taiapure, Hī ika
Mahinga kai o te wai, Gathering seafood; Seafood gathering, Kāika nohoaka; Kaimoana; Tangaroa, Awa + Moana + Roto
Mahinga kai o te whenua, Food gathering (Land), Ahu whenua; Haumie-Tiketike; Kai; Kāika nohoaka; Rongomatāne, Whenua
Māhoe, Hinahina; Moeahu; Whiteywoods, , Rākau whakauru
Māhoe wao," Tāranga; Mahoe, Narrowleaved; Narrowleaved mahoe", , Rākau whakauru
Mahuika, , , Atua
Maihi, , , Whare whakairo
Māika, Māmāika, Toetoe, Whara
Maimai aroha, Obituaries, Poroporoaki; Waiata tangi, Matenga + Pūrongorongo
Maire hau, Māireire, , Mauwha
Maire raunui, Black maire, , Rākau whakakake
Maire rauriki, White maire, , Rākau whakaruruhau
Maire rōroro, Maire kōtae; Narrowleaved maire, , Rākau whakaruruhau
Maire taiki, New Zealand sandalwoods; Willow leaved maire, , Rākau whakaruruhau
Maire tawake, Maire tawaki; Maire tawhaki; Swamp maire, , Rākau whakaruruhau
Maita, Pīrori; Bowls (Game); Lawn bowls, , Hākinakina
Mākaka," Marsh ribbonwoods; Ribbonwoods, Marsh", , Mauwha
Makawe, Hair of the head, Tapu, Tinana
Makohekohe, Marble, , Kōhatu
Mākutu, Whaiwhaia; Spells, Hauora wairua; Karakia; Mate Māori; Tohunga mākutu; Utu, Tikanga tuku iho
Māmā, Hākui; Ūkaipō (Māmā); Whāea; Whāea kēkē; Aunties; Motherhood; Mothers; Kōkā; Whāene, Kaiako; Kuia; Mātua, Whānau
Mamaku," Katātā; Kōrau; Black treeferns; Treeferns, Black", , Hua rākau + Rākau whakaruruhau
Māmāngi, Māmangi; Tree coprosma, , Rākau whakauru
Mana, , Atua; Kaitangata; Mana o te wai; Tapu; Whakapapa, Tikanga tuku iho
Mana ake, Self awareness, Tikanga rua; Tuakiri; Tūrangawaewae, Hauora wairua
Mana atua, , Atua; Tapu; Whakapapa, Mana
Mana motuhake," Autonomy, Māori; Māori autonomy; Māori independence", Kīngitanga, Kōtahitanga + Mana
Mana o te wai," Rights, Riparian; Rights, Water; Riparian rights; Water rights", Mana; Taniwha; Wai, Kaitiakitanga
Mana tāne, , Tāngata, Mana
Mana tangata," Achieved status; Status, Achieved", Pūkengatanga; Rangatira; Rangatiratanga, Mana
Mana tiaki tamariki," Child custody; Custody, Child", Whāngai, Ture whānau
Mana tūpuna, Mana tipuna; Mana tuku iho; Mana whakaheke, Tapu; Tūpuna; Whakapapa, Mana
Mana wahine, , Wāhine, Mana
Mana whakahaere, Governance, Kāwanatanga; Rōpū Māori; Rūnanga ā-iwi, Mana
Mana whakairo hinengaro," Cultural property rights; Intellectual property rights; Property rights, Cultural; Property rights, Intellectual", Umanga, Mana
Mana whenua," Land occupation; Land ownership; Land rights; Land tenure; Rights, Land", Hokohoko whenua; Kaitiakitanga; Papakāinga; Tiriti o Waitangi; Whenua rāhui; Whenua tautohetohe, Mana + Tāngata whenua + Tikanga tuku iho
Manaaki tangata," Counselling, Personal; Personal counselling", Atawhai; Manaakitanga; Mātauranga mate hinengaro; Tāngata; Tiakitanga; Toko i te ora, Hauora hinengaro + Hauora wairua
Manaakitanga," Compassion; Hospitality; Obligations, Mutual", Hauora whānau; Manaaki tangata; Manuhiri; Toko i te ora, Tikanga tuku iho
Manaia, Adornments (Bird-like figures); Jewellery (Bird-like figures), Koropepe, Whakakai
Mānatunatu, Anxiety; Worry, , Aronganui
Mānawa, Paetai; Waikure; Mangroves, , Rākau whakauru
Manawawera, , , Haka
Manehurangi," Manehu; Ferns, Filmy; Filmy ferns", , Pūkohu
Manga, Haemanga; Streams, Awa; Mātāpuna, Wai
Mangā, Barracouta; Makā, , Ika moana
Māngai, Tūranga; Representatives; Whāngai (Māngai), , Mana tangata
Mangaroa, Lattice work patterns, , Tukutuku
Mangeao, Tangeao, , Rākau whakaruruhau
Mangemange, Bushman's mattresses; Mangimangi, , Aka
Mangōroa, Ikaroa; Tuahiwi-nui-o-Rangi; Milky Way; Te Kupenga-a-Taramainuku; Whiti-kaupeka, Kāhui o Mahutonga; Te Waka o Tama-rereti, Tātai whetū + Whānau mārama
Mānihi, , , Otaota waimāori
Manoao," Manawau; Barrier pines; Kirks pines; Pines, Barrier; Pines, Kirks", , Rākau whakakake
Manu, Birds, Hua manu; Ingoa, Pūtaiao
Manu (Whakaraka), Kites, , Whakaraka
Manu aute, Kites (Bird-like); Kites (Paper mulberries), Aute, Manu (Whakaraka)
Manu ki tātahi," Birds, Shore; Shore birds", , Manu
Manu moana," Birds, Sea; Sea birds", Tarāpunga, Manu
Manu ngahere," Birds, Forest; Forest birds", , Manu
Manu ngaro," Birds, Extinct; Extinct birds", , Manu
Manu pāmu, Farm birds, , Manu
Manu pango, Black birds; Blackbirds, , Manu ngahere
Manu repo, , , Manu
Manu tukutuku, Kites (Bird-like); Kites (Raupō), Raupō, Manu (Whakaraka)
Manu waimāori, Waterbirds, , Manu
Manuhiri, Visitors, Manaakitanga; Pōwhiri, Tāngata
Mānuka, Teatrees, Kānuka, Mauwha
Māoritanga," Culture, Māori; Māori culture", Tikanga; Whakapapa, Tuakiri
Māpere, , , Toetoe
Māra, Gardens, , Ahu māra
Marae, , Ako; Waharoa, Papakāinga
Marakihau, Carving patterns (Mermen); Carving patterns (Sea creatures), , Whakairo
Marama, Ahoroa; Atarau; Māhina; Moon, Maramataka; Rona; Te Awa Atua, Whānau mārama
Maramataka," Calendar, Lunar; Calendars; Lunar calendar", Ahu māra; Marama; Rā whānau; Rona; Tōriwha, Ahu whenua
Māramatanga, Comprehension; Understanding, Kaiako, Mātauranga
Marangai, Storms, Ua, Āhua-o-te-rangi
Marau," Tattoos, Buttock", , Tā moko (Tā ngira) + Tā moko (Uhi)
Marau-ā-iwi, Social studies, Āhuatanga pāpori; Iwi; Tikanga-ā-iwi, Pūtaiao
Maremare," Cold, Common; Common cold", Rewharewha, Tahumaero
Mārenatanga," Mārena; Moe (Mārenatanga); Moe māori; Tūhono; Civil unions; Defacto marriage; Marriage; Marriage, Defacto", Tāngata; Taumau, Taihemahema + Whakapapa
Maro, Aprons, , Raranga
Maro huka, , , Maro
Maro kaukau, , , Maro
Maro kōpua, , Raukura, Maro
Maro tūhou, , Karamū, Maro
Maro whaiapu, , , Maro
Maroro," Fishes, Flying; Flying fishes", , Ika moana
Matā, Flint; Obsidian, , Kōhatu
Mata (Karakia)," Charms; Prophetic songs; Songs, Prophetic", , Karakia
Matā kautete," Shark tooth swords; Swords, Shark tooth", , Rākau ā Tū
Mataī," Māī; Black pines; Pines, Black", , Rākau whakakake
Mātaitai, Mataitai; Fishing areas (Non-commercial); Fishing grounds (Non-commercial); Fishing reserves (Non-commercial), Kākahi; Taiapure, Mahinga ika tūturu + Taunga ika
Matakite, Second sight, Moemoeā, Ao wairua
Matakōkiri, Kōtiritiri; Matamata kōkiri; Tumata kōkiri; Falling stars; Meteors; Tamarau, Auahi-turoa, Whānau mārama
Mataku, Dread; Fear, , Wehi
Matamoe," Eels, Shortfinned; Shortfinned eels", , Tuna
Matapaheru, , Kūmara, Tohunga
Matapihi, Windows, , Whare whakairo
Mātāpuna, Kōhuhutanga; Kōpounga; Pūkaki (Wai), Awa; Manga, Puna waimāori
Mātāpunenga, Encyclopedias, , Tuhinga kōrero
Matareo, Language learning; Language teaching, , Ako + Reo Māori
Matariki," New Year, Māori; Pleiades", Ahu māra; Whānau mārama, Tātai whetū
Matatika, Ethics, , Tikanga
Matau," Fishing hooks; Hooks, Fishing", Hei matau, Taputapu hī ika
Mātauranga, Education, Anga; Karahipi; Mātauranga hapori; Mātauranga haratūtanga; Mātauranga hauora kararehe; Mātauranga huaota; Mātauranga kararehe; Mātauranga koiora; Mātauranga mate hinengaro; Mātauranga matū; Mātauranga taupuhi kaiao; Mātauranga tikanga tāngata; Mātauranga tōrangapū; Mātauranga waka tuarangi; Mātauranga wetereo; Tohunga,
Mātauranga hapori, Mātauranga noho-ā-iwi; Sociology, Āhuatanga pāpori; Mātauranga, Hapori
Mātauranga haratūtanga, Criminology, Hara; Mahi whakaauraki; Mātauranga; Mauhere; Pārurenga; Ture; Whare herehere, Pūtaiao
Mātauranga hauora kararehe," Science, Veterinary; Veterinary science", Kararehe; Mātauranga; Mātauranga kararehe, Pūtaiao
Mātauranga huaota, Botany, Ahu whenua; Mātauranga; Te Wao nui a Tāne, Pūtaiao
Mātauranga kararehe, Mātai kīrehe; Zoology, Kararehe; Mātauranga; Mātauranga hauora kararehe, Pūtaiao
Mātauranga koiora, Mātai koiora; Biology, Mātauranga, Koiora
Mātauranga mahere whenua, Topography, Papatūānuku, Mahere whenua
Mātauranga mate hinengaro, Psychiatry, Hauora hinengaro; Manaaki tangata; Mātauranga, Pūtaiao
Mātauranga matū, Mātai matū; Chemistry, Mātauranga, Ō kawekawe + Pūtaiao
Mātauranga tāhuhu tonu," Continuing education; Education, Continuing", , Mātauranga
Mātauranga taupuhi kaiao, Mātai hauropi; Rangahau taiao; Ecology, Mātauranga, Pūtaiao
Mātauranga taupuhi kaiao wai," Mātai hauropi wai; Aquatic ecology; Ecology, Aquatic", , Mātauranga taupuhi kaiao
Mātauranga tikanga tāngata, Take tikanga tangata; Anthropology, Mātauranga; Rangahau o te noho-ā-iwi; Tikanga, Pūtaiao + Tāngata
Mātauranga tōrangapū, Pūtaiao tōrangapū; Political science, Mātauranga; Tōrangapū, Pūtaiao
Mātauranga waka tuarangi, Rocket propulsion; Rocketry, Mātauranga; Waka kōpiko tuaranga; Waka tuarangi, Pūtaiao
Mātauranga wetereo, Mātauranga āhua reo; Linguistics, Mātauranga, Wetereo
Mātauranga whakahua, Phonetics, , Mātauranga wetereo
Matawhero, Tūmatauenga (Whetū kōkori); Mars, , Whetū kōkori
Mate, Whara (Mate); Health problems; Injuries, , Hauora
Mate atewharowharo pukupuku," Cancer, Lung; Lung cancer", Kai paipa, Mate pukupuku
Mate huka, Diabetes, , Tahumaero
Mate ketoketo, HIV, , Tahumaero
Mate kiri pukupuku," Cancer, Skin; Skin cancer", , Mate pukupuku
Mate kohi, Tuberculosis, , Tahumaero
Mate koroputaputa, Smallpox, , Tahumaero
Mate manawa," Disease, Heart; Heart disease", , Tahumaero
Mate Māori, , Mākutu, Mate
Mate pukupuku, Cancer, , Tahumaero
Mate rerekē, Illness; Mental illness, , Mate
Mate tūtohu, Allergy, , Take hauora
Mate ū," Mate pukupuku o ngā ū; Mate ūtaetae; Breast cancer; Cancer, Breast", , Mate pukupuku
Mate urutā," Diseases, Infectious; Distemper; Epidemics; Infectious diseases; Typhoid; Typhus fever", , Tahumaero
Mate wareware, Dementia, , Tahumaero
Mate whakamomori, Suicide; Mate taurekareka, , Mate rerekē
Mate whēkau pukupuku," Bowel cancer; Cancer, Bowel", , Mate pukupuku
Matenga, Death rituals, Aituā; Hauora tinana; Hinenuitepō; Pānuitanga mate; Tāngata; Tangihanga; Tohunga; Utu, Ao wairua
Mātihetihe," Hinerepe; Pouaka; Sand fescues; Sand tussocks; Tussocks, Sand", , Pātītī
Matira," Matire; Fishing rods; Rods, Fishing", , Taputapu hī ika
Mātua, Parenting; Parents, Māmā; Pāpā, Whānau
Mātuhituhi," Bush wrens; Wrens, Bush", , Manu ngahere
